"Part_A","Part_B","Cat_A","Cat_B","Count_A","Count_B"
"2x2x2 Corner Brick","Round Brick 1x1","brick","brick",8,13
"2x2x2 Corner Brick","1x1 Plate","brick","plate",8,18
"Round Brick 1x1","1x1 Plate","brick","plate",13,18
"Plate 1x2 Handle","1x2 Plate","bar","plate",15,58
"1x1 Plate","1x2 Plate","plate","plate",18,58
"1x1 Plate","1x3 Plate","plate","plate",18,28
"1x2 Plate","1x3 Plate","plate","plate",58,28
"Plate 1x2 Handle","1x4 Plate","bar","plate",15,48
"1x1 Plate","1x4 Plate","plate","plate",18,48
"1x2 Plate","1x4 Plate","plate","plate",58,48
"1x3 Plate","1x4 Plate","plate","plate",28,48
"1x3 Plate","1x6 Plate","plate","plate",28,20
"1x4 Plate","1x6 Plate","plate","plate",48,20
"1x2 Plate","1x8 Plate","plate","plate",58,12
"1x3 Plate","1x8 Plate","plate","plate",28,12
"1x4 Plate","1x8 Plate","plate","plate",48,12
"1x8 Plate","2x12 Plate","plate","plate",12,12
"1x2 Plate","2x2 Corner Plate","plate","plate",58,10
"1x3 Plate","2x2 Corner Plate","plate","plate",28,10
"Round Brick 1x1","2x2 Plate","brick","plate",13,19
"1x2 Plate","2x2 Plate","plate","plate",58,19
"1x4 Plate","2x3 Plate","plate","plate",48,18
"Round Brick 1x1","2x4 Plate","brick","plate",13,34
"1x2 Plate","2x4 Plate","plate","plate",58,34
"2x3 Plate","2x4 Plate","plate","plate",18,34
"1x2 Plate","2x6 Plate","plate","plate",58,10
"1x4 Plate","2x6 Plate","plate","plate",48,10
"1x2 Plate","Plate 1x2 Groove","plate","plate",58,17
"1x8 Plate","Plate 1x2 Groove","plate","plate",12,17
"2x2x2 Corner Brick","1x1 Slope 31","brick","slope",8,17
"Round Brick 1x1","1x1 Slope 31","brick","slope",13,17
"1x1 Plate","1x1 Slope 31","plate","slope",18,17
"Plate 1x2 Groove","1x1 Slope 31","plate","slope",17,17
"1x2 Plate","1x2 Slope 31","plate","slope",58,21
"1x4 Plate","1x2 Slope 31","plate","slope",48,21
"1x8 Plate","1x2 Slope 31","plate","slope",12,21
"2x2 Corner Plate","1x2 Slope 31","plate","slope",10,21
"2x4 Plate","1x2 Slope 31","plate","slope",34,21
"Plate 1x2 Groove","1x2 Slope 31","plate","slope",17,21
"2x2x2 Corner Brick","1x2 Slope 45","brick","slope",8,24
"1x2 Plate","1x2 Slope 45","plate","slope",58,24
"1x3 Plate","1x2 Slope 45","plate","slope",28,24
"1x6 Plate","1x2 Slope 45","plate","slope",20,24
"1x2 Plate","Slope Brick 45 1x2","plate","slope",58,8
"1x4 Plate","Slope Brick 45 1x2","plate","slope",48,8
"2x2 Plate","Slope Brick 45 1x2","plate","slope",19,8
"2x4 Plate","Slope Brick 45 1x2","plate","slope",34,8
"1x3 Plate","Wedge Plate 4x4 L","plate","slope",28,8
"1x3 Plate","Wedge Plate 4x4 R","plate","slope",28,8
"Wedge Plate 4x4 L","Wedge Plate 4x4 R","slope","slope",8,8
"1x1 Slope 31","SNOT Brick 1x1","slope","snot",17,19
"1x2 Slope 45","SNOT Brick 1x1","slope","snot",24,19
"1x2 Plate","Bracket 1x2-1x2 Inv","plate","special",58,16
"1x3 Plate","Bracket 1x2-1x2 Inv","plate","special",28,16
"2x2 Plate","Bracket 1x2-1x2 Inv","plate","special",19,16
"Slope Brick 45 1x2","Bracket 1x2-1x2 Inv","slope","special",8,16
"1x4 Plate","Hinge 1x2 Base","plate","special",48,14
"2x4 Plate","Hinge 1x2 Base","plate","special",34,14
"1x1 Slope 31","Hinge 1x2 Base","slope","special",17,14
"2x2 Plate","Hinge Plate 1x2 Bot","plate","special",19,12
"2x4 Plate","Hinge Plate 1x2 Bot","plate","special",34,12
"Bar Clip Vertical","Inv. Macaroni","bar","special",20,22
"1x2 Plate","Inv. Macaroni","plate","special",58,22
"1x3 Plate","Inv. Macaroni","plate","special",28,22
"2x3 Plate","Inv. Macaroni","plate","special",18,22
"2x6 Plate","Inv. Macaroni","plate","special",10,22
"Wedge Plate 4x4 L","Inv. Macaroni","slope","special",8,22
"Wedge Plate 4x4 R","Inv. Macaroni","slope","special",8,22
"1x2 Plate","Panel 1x4","plate","special",58,8
"1x4 Plate","Panel 1x4","plate","special",48,8
"1x8 Plate","Panel 1x4","plate","special",12,8
"Slope Brick 45 1x2","Panel 1x4","slope","special",8,8
"1x1 Plate","Round Arch 1x1x3","plate","special",18,18
"1x4 Plate","Round Arch 1x1x3","plate","special",48,18
"1x2 Slope 31","Round Arch 1x1x3","slope","special",21,18
"1x2 Slope 45","Round Arch 1x1x3","slope","special",24,18
"1x3 Plate","Technic Bush","plate","technic",28,9
"2x2 Plate","Technic Bush","plate","technic",19,9
"1x4 Plate","Technic Pin 1x2","plate","technic",48,13
"1x6 Plate","Technic Pin 1x2","plate","technic",20,13
"Technic Pin (fric)","Technic Pin 3L","technic","technic",24,9
"1x2 Plate","Technic Plate 1x2","plate","technic",58,23
"1x4 Plate","Technic Plate 1x2","plate","technic",48,23
"1x6 Plate","Technic Plate 1x2","plate","technic",20,23
"1x8 Plate","Technic Plate 1x2","plate","technic",12,23
"2x12 Plate","Technic Plate 1x2","plate","technic",12,23
"1x1 Slope 31","Technic Plate 1x2","slope","technic",17,23
"Plate 1x2 Handle","1x1 Round Plate","bar","tile",15,57
"2x2x2 Corner Brick","1x1 Round Plate","brick","tile",8,57
"1x2 Plate","1x1 Round Plate","plate","tile",58,57
"1x4 Plate","1x1 Round Plate","plate","tile",48,57
"1x6 Plate","1x1 Round Plate","plate","tile",20,57
"1x8 Plate","1x1 Round Plate","plate","tile",12,57
"2x12 Plate","1x1 Round Plate","plate","tile",12,57
"2x2 Corner Plate","1x1 Round Plate","plate","tile",10,57
"2x3 Plate","1x1 Round Plate","plate","tile",18,57
"2x4 Plate","1x1 Round Plate","plate","tile",34,57
"2x6 Plate","1x1 Round Plate","plate","tile",10,57
"2x3 Slope 33","1x1 Round Plate","slope","tile",8,57
"Inv. Macaroni","1x1 Round Plate","special","tile",22,57
"Technic Plate 1x2","1x1 Round Plate","technic","tile",23,57
"1x3 Plate","Grille Tile 1x2","plate","tile",28,50
"1x4 Plate","Grille Tile 1x2","plate","tile",48,50
"2x2 Plate","Grille Tile 1x2","plate","tile",19,50
"1x2 Slope 45","Grille Tile 1x2","slope","tile",24,50
"Wedge Plate 4x4 L","Grille Tile 1x2","slope","tile",8,50
"Wedge Plate 4x4 R","Grille Tile 1x2","slope","tile",8,50
"SNOT Brick 1x1","Grille Tile 1x2","snot","tile",19,50
"1x1 Round Plate","Grille Tile 1x2","tile","tile",57,50
"1x1 Plate","Grille Tile 1x2 A","plate","tile",18,14
"1x2 Plate","Grille Tile 1x2 A","plate","tile",58,14
"2x3 Slope 33","Round Tile 1x1 Print","slope","tile",8,9
"1x1 Round Plate","Round Tile 1x1 Print","tile","tile",57,9
"Grille Tile 1x2 A","Round Tile 1x1 Print","tile","tile",14,9
"Plate 1x2 Groove","Round Tile 1x1 Stud","plate","tile",17,16
"1x1 Slope 31","Round Tile 1x1 Stud","slope","tile",17,16
"SNOT Brick 1x1","Round Tile 1x1 Stud","snot","tile",19,16
"Technic Plate 1x2","Round Tile 1x1 Stud","technic","tile",23,16
"1x2 Plate","Tile 1x1","plate","tile",58,12
"2x2 Corner Plate","Tile 1x1","plate","tile",10,12
"Plate 1x2 Groove","Tile 1x1","plate","tile",17,12
"1x1 Slope 31","Tile 1x1","slope","tile",17,12
"1x2 Slope 31","Tile 1x1","slope","tile",21,12
"Round Tile 1x1 Stud","Tile 1x1","tile","tile",16,12
"1x4 Plate","Tile 1x2","plate","tile",48,17
"Plate 1x2 Groove","Tile 1x2","plate","tile",17,17
"1x1 Slope 31","Tile 1x2","slope","tile",17,17
"Grille Tile 1x2","Tile 1x2","tile","tile",50,17
"Tile 1x1","Tile 1x2","tile","tile",12,17
"1x3 Plate","Tile 1x3","plate","tile",28,10
"1x4 Plate","Tile 1x3","plate","tile",48,10
"Wedge Plate 4x4 L","Tile 1x3","slope","tile",8,10
"Wedge Plate 4x4 R","Tile 1x3","slope","tile",8,10
"Tile 1x1","Tile 1x3","tile","tile",12,10
"Tile 1x2","Tile 1x3","tile","tile",17,10
"1x2 Plate","Tile 1x4","plate","tile",58,13
"1x3 Plate","Tile 1x4","plate","tile",28,13
"1x6 Plate","Tile 1x4","plate","tile",20,13
"Technic Plate 1x2","Tile 1x4","technic","tile",23,13
"Grille Tile 1x2","Tile 1x4","tile","tile",50,13
"1x4 Plate","Tile 1x6","plate","tile",48,23
"1x6 Plate","Tile 1x6","plate","tile",20,23
"2x6 Plate","Tile 1x6","plate","tile",10,23
"Wedge Plate 4x4 L","Tile 1x6","slope","tile",8,23
"Wedge Plate 4x4 R","Tile 1x6","slope","tile",8,23
"Grille Tile 1x2","Tile 1x6","tile","tile",50,23
"Tile 1x2","Tile 1x6","tile","tile",17,23
"Tile 1x1","Tile 1x8","tile","tile",12,9
"Plate 1x2 Handle","Tile 2x4","bar","tile",15,32
"1x4 Plate","Tile 2x4","plate","tile",48,32
"2x4 Plate","Tile 2x4","plate","tile",34,32
"Wedge Plate 4x4 L","Tile 2x4","slope","tile",8,32
"Wedge Plate 4x4 R","Tile 2x4","slope","tile",8,32
"Grille Tile 1x2","Tile 2x4","tile","tile",50,32
"Tile 1x1","Tile 2x4","tile","tile",12,32
"Tile 1x2","Tile 2x4","tile","tile",17,32
"Tile 1x3","Tile 2x4","tile","tile",10,32
"Tile 1x4","Tile 2x4","tile","tile",13,32
"Tile 1x6","Tile 2x4","tile","tile",23,32
"2x4 Plate","Tile 4x4 Edge Studs","plate","tile",34,21
"Tile 2x4","Tile 4x4 Edge Studs","tile","tile",32,21
"Wedge Plate 4x4 L","Tile 4x4 Round","slope","tile",8,11
"Wedge Plate 4x4 R","Tile 4x4 Round","slope","tile",8,11
"Grille Tile 1x2","Tile 4x4 Round","tile","tile",50,11
"Tile 1x6","Tile 4x4 Round","tile","tile",23,11
"Tile 2x4","Tile 4x4 Round","tile","tile",32,11
