"2540","NA","NA","NA","Plate Special 1 x 2 Side Handle [Free Ends]","4","Black"
"3024","NA","NA","NA","Plate 1 x 1","4","Black"
"3062b","NA","NA","NA","Brick Round 1 x 1 Open Stud","1","Black"
"2540","NA","NA","NA","Plate Special 1 x 2 Side Handle [Free Ends]","4","Black"
"4871","NA","NA","NA","Slope Inverted 45째 4 x 2 Double","1","Black"
"2609b","NA","NA","NA","Magnet Holder Tile 2 x 2 - Tall Arms with Deep Notch","1","Black"
"4854","NA","NA","NA","Slope Inverted 45째 4 x 4 Double","1","Black"
"4854","NA","NA","NA","Slope Inverted 45째 4 x 4 Double","1","Black"
"4733","30374","2","1","Brick Special 1 x 1 Studs on 4 Sides","5","Black"
"4854","NA","NA","NA","Slope Inverted 45째 4 x 4 Double","1","Black"
"6636","NA","NA","NA","Tile 1 x 6 with Groove","2","Black"
"298c02","4733","3","2","Lever Small Base with Black Lever","2","Blue"
"6141","4733","4.2","2","Plate Round 1 x 1 with Solid Stud","2","Blue"
"4070","4733","2","1","Brick Special 1 x 1 with Headlight and No Slot","1","Blue"
"4733","6141","4.1","2","Brick Special 1 x 1 Studs on 4 Sides","3","Dark Gray"
"4589","6141","4.3","2","Cone 1 x 1 [No Top Groove]","4","Dark Gray"
"4733","NA","NA","NA","Brick Special 1 x 1 Studs on 4 Sides","3","Dark Gray"
"4733","6141","4","1","Brick Special 1 x 1 Studs on 4 Sides","3","Dark Gray"
"4032a","NA","NA","NA","Plate Round 2 x 2 with Axle Hole Type 1 (+ Opening)","2","Light Gray"
"4740","NA","NA","NA","Dish 2 x 2 Inverted [Radar]","2","Light Gray"
"6141","6141","4.2","2","Plate Round 1 x 1 with Solid Stud","1","Light Gray"
"2555","30359b","2","1","Tile Special 1 x 1 with Clip and Straight Tips","6","Light Gray"
"3023","NA","NA","NA","Plate 1 x 2","4","Orange"
"2420","NA","NA","NA","Plate 2 x 2 Corner","4","Orange"
"4589","NA","NA","NA","Cone 1 x 1 [No Top Groove]","1","Orange"
"3626b","NA","NA","NA","Minifig Head Plain [Blocked Open Stud]","2","Orange"
"3023","NA","NA","NA","Plate 1 x 2","4","Orange"
"4740","NA","NA","NA","Dish 2 x 2 Inverted [Radar]","2","Orange"
"3023","NA","NA","NA","Plate 1 x 2","4","Orange"
"2420","NA","NA","NA","Plate 2 x 2 Corner","4","Orange"
"4589","NA","NA","NA","Cone 1 x 1 [No Top Groove]","1","Orange"
"2420","NA","NA","NA","Plate 2 x 2 Corner","4","Orange"
"4589","NA","NA","NA","Cone 1 x 1 [No Top Groove]","1","Orange"
"2420","NA","NA","NA","Plate 2 x 2 Corner","4","Orange"
"4599a","NA","NA","NA","Tap 1 x 1 with Hole in Spout","2","Orange"
"4740","NA","NA","NA","Dish 2 x 2 Inverted [Radar]","4","Trans-Clear"
"30359b","4740","1","2","Bar 1 x 8 with Brick 1 x 2 Curved Top End (Axle Holder Inside Small End)","2","Trans-Clear"
"30374","2555","3","1","Bar 4L (Lightsaber Blade / Wand)","2","Trans-Neon Orange"
"30374","4733","4","2","Bar 4L (Lightsaber Blade / Wand)","2","Trans-Neon Orange"
"30374","NA","NA","NA","Bar 4L (Lightsaber Blade / Wand)","2","Trans-Neon Orange"
"2566","4733","4","2","Plant, Palm Tree Top, 4 Top Bars, 1 Bottom Bar","2","Yellow"
"6141","NA","NA","NA","Plate Round 1 x 1 with Solid Stud","2","Yellow"
"6141","NA","NA","NA","Plate Round 1 x 1 with Solid Stud","1","Yellow"
